Year,Genre,Percentage,Count
2003.0,Romance,5.048859934853421,31
2003.0,Shounen,5.863192182410423,36
2003.0,Slice of Life,2.6058631921824107,16
2003.0,School,2.1172638436482085,13
2004.0,Comedy,11.424903722721439,89
2004.0,Action,6.418485237483954,50
2004.0,Adventure,6.161745827984596,48
2004.0,Fantasy,3.8510911424903727,30
2004.0,Sci-Fi,6.546854942233633,51
2004.0,Drama,7.702182284980745,60
2004.0,Romance,5.391527599486521,42
2004.0,Shounen,5.5198973042362,43
2004.0,Slice of Life,2.1822849807445444,17
2004.0,School,3.3376123234916557,26
2005.0,Comedy,11.882716049382717,77
2005.0,Action,4.78395061728395,31
2005.0,Adventure,4.78395061728395,31
2005.0,Fantasy,6.635802469135803,43
2005.0,Sci-Fi,4.4753086419753085,29
2005.0,Drama,8.179012345679013,53
2005.0,Romance,7.716049382716049,50
2005.0,Shounen,4.62962962962963,30
2005.0,Slice of Life,3.2407407407407405,21
2005.0,School,2.314814814814815,15
2006.0,Comedy,14.014752370916755,133
2006.0,Action,6.533192834562697,62
2006.0,Adventure,4.425711275026344,42
2006.0,Fantasy,5.900948366701791,56
2006.0,Sci-Fi,4.952581664910432,47
2006.0,Drama,7.165437302423603,68
2006.0,Romance,6.533192834562697,62
2006.0,Shounen,3.7934668071654376,36
2006.0,Slice of Life,2.845100105374078,27
2006.0,School,3.7934668071654376,36
2007.0,Comedy,12.179487179487179,95
2007.0,Action,6.923076923076923,54
2007.0,Adventure,5.384615384615385,42
2007.0,Fantasy,7.051282051282051,55
2007.0,Sci-Fi,4.743589743589744,37
2007.0,Drama,6.282051282051282,49
2007.0,Romance,5.128205128205128,40
2007.0,Shounen,3.205128205128205,25
2007.0,Slice of Life,2.8205128205128207,22
2007.0,School,5.641025641025641,44
2008.0,Comedy,13.530135301353013,110
2008.0,Action,7.2570725707257075,59
2008.0,Adventure,4.674046740467404,38
2008.0,Fantasy,5.658056580565805,46
2008.0,Sci-Fi,5.289052890528905,43
2008.0,Drama,3.936039360393604,32
2008.0,Romance,5.781057810578106,47
2008.0,Shounen,3.6900369003690034,30
2008.0,Slice of Life,2.952029520295203,24
2008.0,School,4.797047970479705,39
2009.0,Comedy,16.412661195779602,140
2009.0,Action,6.447831184056271,55
2009.0,Adventure,4.220398593200469,36
2009.0,Fantasy,5.509964830011723,47
2009.0,Sci-Fi,3.399765533411489,29
2009.0,Drama,3.985932004689332,34
2009.0,Romance,5.041031652989449,43
2009.0,Shounen,3.1652989449003512,27
2009.0,Slice of Life,4.572098475967175,39
2009.0,School,4.6893317702227435,40
2010.0,Comedy,16.395663956639567,121
2010.0,Action,7.588075880758807,56
2010.0,Adventure,4.0650406504065035,30
2010.0,Fantasy,3.9295392953929538,29
2010.0,Sci-Fi,3.2520325203252036,24
2010.0,Drama,3.2520325203252036,24
2010.0,Romance,4.336043360433604,32
2010.0,Shounen,4.0650406504065035,30
2010.0,Slice of Life,3.7940379403794036,28
2010.0,School,4.471544715447155,33
2011.0,Comedy,15.873015873015872,150
2011.0,Action,7.936507936507936,75
2011.0,Adventure,2.5396825396825395,24
2011.0,Fantasy,3.5978835978835977,34
2011.0,Sci-Fi,2.9629629629629632,28
2011.0,Drama,3.492063492063492,33
2011.0,Romance,4.232804232804233,40
2011.0,Shounen,4.338624338624339,41
2011.0,Slice of Life,4.656084656084656,44
2011.0,School,5.608465608465608,53
2012.0,Comedy,15.33203125,157
2012.0,Action,7.8125,80
2012.0,Adventure,3.22265625,33
2012.0,Fantasy,4.6875,48
2012.0,Sci-Fi,3.02734375,31
2012.0,Drama,3.3203125,34
2012.0,Romance,5.6640625,58
2012.0,Shounen,4.78515625,49
2012.0,Slice of Life,4.8828125,50
2012.0,School,7.03125,72
2013.0,Comedy,17.587939698492463,175
2013.0,Action,7.839195979899498,78
2013.0,Adventure,2.7135678391959797,27
2013.0,Fantasy,5.92964824120603,59
2013.0,Sci-Fi,3.015075376884422,30
2013.0,Drama,2.21105527638191,22
2013.0,Romance,4.1206030150753765,41
2013.0,Shounen,3.5175879396984926,35
2013.0,Slice of Life,7.135678391959798,71
2013.0,School,6.432160804020101,64
2014.0,Comedy,15.620094191522762,199
2014.0,Action,7.535321821036106,96
2014.0,Adventure,3.924646781789639,50
2014.0,Fantasy,6.5149136577708004,83
2014.0,Sci-Fi,3.6891679748822606,47
2014.0,Drama,2.2762951334379906,29
2014.0,Romance,4.395604395604396,56
2014.0,Shounen,4.78806907378336,61
2014.0,Slice of Life,6.043956043956044,77
2014.0,School,5.808477237048666,74
2015.0,Comedy,16.402997502081597,197
2015.0,Action,7.993338884263114,96
2015.0,Adventure,3.330557868442964,40
2015.0,Fantasy,6.577851790174854,79
2015.0,Sci-Fi,2.9142381348875936,35
2015.0,Drama,2.8309741881765196,34
2015.0,Romance,3.8301415487094084,46
2015.0,Shounen,3.746877601998335,45
2015.0,Slice of Life,6.078268109908409,73
2015.0,School,6.078268109908409,73
2016.0,Comedy,15.481481481481483,209
2016.0,Action,7.629629629629629,103
2016.0,Adventure,3.7777777777777777,51
2016.0,Fantasy,6.296296296296296,85
2016.0,Sci-Fi,4.0,54
2016.0,Drama,3.7037037037037033,50
2016.0,Romance,3.5555555555555554,48
2016.0,Shounen,3.3333333333333335,45
2016.0,Slice of Life,5.481481481481482,74
2016.0,School,5.851851851851852,79
2017.0,Comedy,13.124533929903057,176
2017.0,Action,7.606263982102908,102
2017.0,Adventure,4.250559284116331,57
2017.0,Fantasy,7.90454884414616,106
2017.0,Sci-Fi,3.803131991051454,51
2017.0,Drama,4.548844146159582,61
2017.0,Romance,4.399701715137957,59
2017.0,Shounen,3.5794183445190155,48
2017.0,Slice of Life,6.263982102908278,84
2017.0,School,5.369127516778524,72
2018.0,Comedy,13.31893448524118,185
2018.0,Action,8.423326133909287,117
2018.0,Adventure,4.607631389488841,64
2018.0,Fantasy,7.127429805615551,99
2018.0,Sci-Fi,3.311735061195104,46
2018.0,Drama,4.463642908567315,62
2018.0,Romance,4.391648668106551,61
2018.0,Shounen,2.8797696184305255,40
2018.0,Slice of Life,6.911447084233262,96
2018.0,School,4.031677465802735,56
2019.0,Comedy,10.465116279069768,18
2019.0,Action,9.883720930232558,17
2019.0,Adventure,4.651162790697675,8
2019.0,Fantasy,7.55813953488372,13
2019.0,Sci-Fi,4.651162790697675,8
2019.0,Drama,4.651162790697675,8
2019.0,Romance,5.813953488372093,10
2019.0,Shounen,2.9069767441860463,5
2019.0,Slice of Life,4.651162790697675,8
2019.0,School,6.976744186046512,12
