Entity,Year,CO2_per_capita,Population,Poverty_rate
Colombia,1999,1.4426227,38454817,21.354277
Colombia,2000,1.4477241,39089879,17.496916
Colombia,2001,1.4316118,39709209,20.995247
Colombia,2002,1.3862796,40324632,14.178107
Colombia,2003,1.4016063,40937378,13.005037
Colombia,2004,1.3154225,41543134,12.007561
Colombia,2005,1.4280355,42128928,10.736817
Colombia,2008,1.5302994,43758748,11.025411
Colombia,2009,1.6367329,44271496,9.602201
Colombia,2010,1.7032403,44777278,8.284389
Colombia,2011,1.6841562,45259560,6.8281503
Colombia,2012,1.7555273,45715766,6.7151165
Colombia,2013,1.90903,46151536,6.111701
Colombia,2014,2.0203397,46565374,5.4313827
Colombia,2015,2.0877993,46969894,4.925476
Colombia,2016,1.9859419,47437468,4.9135303
Colombia,2017,1.7994725,48131023,4.33946
Colombia,2018,1.7691385,49024413,4.4982615
Colombia,2019,1.893445,49907932,5.2847376
Colombia,2020,1.7723011,50629945,9.359861
Colombia,2021,1.842679,51188120,7.334666
Colombia,2022,1.8998168,51737891,6.036548
Comoros,2004,0.25240114,580663,14.625825
Comoros,2014,0.22659819,711462,18.643723
Congo,2005,1.1774173,3696336,49.5537
Congo,2011,1.0947438,4609682,35.357456
Costa Rica,1981,0.91028893,2456597,25.86
Costa Rica,1986,0.914938,2817168,13.922999
Costa Rica,1989,0.96371937,3043775,10.552571
Costa Rica,1990,0.93316454,3121652,10.379871
Costa Rica,1991,1.0267868,3202139,12.413738
Costa Rica,1992,1.1393496,3284214,9.941776
Costa Rica,1993,1.1554636,3367386,8.527353
Costa Rica,1994,1.5067313,3451080,7.041064
Costa Rica,1995,1.3580168,3535133,7.149303
Costa Rica,1996,1.2949463,3618974,8.220924
Costa Rica,1997,1.3281016,3701661,6.7248263
Costa Rica,1998,1.3836629,3782786,5.2241964
Costa Rica,1999,1.4079974,3862057,6.818424
Costa Rica,2000,1.3698102,3937679,6.9267936
Costa Rica,2001,1.4134953,4008904,5.094759
