name,score,episodes,episode_group,type
Sensei no Ojikan: Doki Doki School Hours,6.75,13.0,7-13,TV
Slayers,7.83,26.0,14-26,TV
Slayers Next,8.11,26.0,14-26,TV
Tekken,5.32,2.0,2-6,OVA
Shin Tenchi Muyou!,6.94,26.0,14-26,TV
Tenchi Muyou! Ryououki,7.73,6.0,2-6,OVA
Tenchi Muyou! Ryououki 2nd Season,7.74,6.0,2-6,OVA
Tenchi Muyou! Ryououki 3rd Season,7.39,6.0,2-6,OVA
Mousou Kagaku Series: Wandaba Style,6.1,12.0,7-13,TV
Wind: A Breath of Heart (TV),6.07,13.0,7-13,TV
Wind: A Breath of Heart OVA,6.28,3.0,2-6,OVA
Yu☆Gi☆Oh!,7.29,27.0,27-52,TV
Grappler Baki: Saidai Tournament-hen,7.49,24.0,14-26,TV
Digimon Adventure,7.87,54.0,53-100,TV
Yami no Matsuei,7.18,13.0,7-13,TV
Koutetsu Tenshi Kurumi,6.85,24.0,14-26,TV
Koutetsu Tenshi Kurumi 2,6.36,12.0,7-13,TV
Koutetsu Tenshi Kurumi Zero,6.16,3.0,2-6,OVA
Koutetsu Tenshi Kurumi Encore,6.78,4.0,2-6,OVA
Major S2,8.35,26.0,14-26,TV
Sakura Taisen,6.96,25.0,14-26,TV
Sakura Taisen: Le Nouveau Paris,6.54,3.0,2-6,OVA
DNA²,6.79,12.0,7-13,TV
Puni Puni☆Poemii,6.63,2.0,2-6,OVA
Tetsuwan Birdy,7.18,4.0,2-6,OVA
The Big O,7.57,26.0,14-26,TV
Bubblegum Crisis Tokyo 2040,7.17,26.0,14-26,TV
Musekinin Kanchou Tylor,7.93,26.0,14-26,TV
Moldiver,6.17,6.0,2-6,OVA
Saber Marionette J,7.41,25.0,14-26,TV
Rean no Tsubasa,5.82,6.0,2-6,ONA
Magikano,6.47,13.0,7-13,TV
Kagi Hime Monogatari: Eikyuu Alice Rondo,6.29,13.0,7-13,TV
Battle Programmer Shirase,7.01,15.0,14-26,TV
Kogepan,6.97,10.0,7-13,TV
Honoo no Labyrinth,6.33,2.0,2-6,OVA
Sexy Commando Gaiden: Sugoiyo!! Masaru-san,7.83,48.0,27-52,TV
Noein: Mou Hitori no Kimi e,7.69,24.0,14-26,TV
Ayakashi: Japanese Classic Horror,7.54,11.0,7-13,TV
Hanbun no Tsuki ga Noboru Sora,7.61,6.0,2-6,TV
Ginga Nagareboshi Gin,8.12,21.0,14-26,TV
Kage kara Mamoru!,6.68,12.0,7-13,TV
Amaenaide yo!!,6.59,12.0,7-13,TV
PopoloCrois,7.07,26.0,14-26,TV
Mugen no Ryvius,7.54,26.0,14-26,TV
Jinzou Ningen Kikaider The Animation,7.07,13.0,7-13,TV
Yuugen Kaisha,6.56,4.0,2-6,OVA
Legend of Duo,5.04,12.0,7-13,TV
KO Seiki Beast Sanjuushi,6.58,7.0,7-13,OVA
Futari wa Precure,7.03,49.0,27-52,TV
Mahou no Stage Fancy Lala,7.16,26.0,14-26,TV
Tenshi ni Narumon!,6.81,26.0,14-26,TV
Kazemakase Tsukikage Ran,7.16,13.0,7-13,TV
Otogi Juushi Akazukin,7.07,39.0,27-52,TV
