name,score,episodes,episode_group,type
Ba La La Xiao Mo Xian Zhi: Caihong Xin Shi,6.16,36.0,27-52,TV
Kagewani,6.49,13.0,7-13,TV
Rasen Sokou no Dystopia,6.1,2.0,2-6,OVA
Gakusen Toshi Asterisk,7.1,12.0,7-13,TV
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,7.7,13.0,7-13,TV
Funassyi to Yukaina Kyoudai,4.44,4.0,2-6,ONA
Teekyuu 5,6.82,12.0,7-13,TV
Great Hunt,4.86,19.0,14-26,TV
Ane Yome Quartet,7.3,2.0,2-6,OVA
Animegatari,6.0,8.0,7-13,Movie
Princess Princess Specials,6.66,12.0,7-13,Special
Perman (1983) Specials,5.92,3.0,2-6,Special
Shin Atashin'chi,7.2,26.0,14-26,TV
Itoshi no Muco,6.85,25.0,14-26,TV
Long Riders!,6.64,12.0,7-13,TV
Ansatsu Kyoushitsu 2nd Season,8.64,25.0,14-26,TV
Queen's Blade: Grimoire,6.32,2.0,2-6,OVA
Pokemon XY: Hoopa no Odemashi Daisakusen!!,6.18,6.0,2-6,Special
Kakko Kawaii Sengen! Specials,5.09,14.0,14-26,Special
Makura no Danshi,4.72,12.0,7-13,TV
Kamisama Hajimemashita: Kako-hen,8.52,4.0,2-6,OVA
Owari no Seraph: Owaranai Seraph,7.39,9.0,7-13,Special
Hacka Doll The Animation,6.5,13.0,7-13,TV
Saenai Heroine no Sodatekata ♭,7.88,11.0,7-13,TV
Shingeki no Bahamut: Virgin Soul,7.54,24.0,14-26,TV
Young Black Jack,7.29,12.0,7-13,TV
Hyoudou Ibuki: Kanpeki Ibuki Kaichou ga Kousoku Do M!? na Wake,6.8,2.0,2-6,OVA
Fushigi na Somera-chan,5.92,12.0,7-13,TV
Saijaku Muhai no Bahamut,6.85,12.0,7-13,TV
Usavich Zero,6.24,13.0,7-13,TV
himitsukesshatakanotsume.jp Specials,5.43,2.0,2-6,Special
Monster Strike,6.63,51.0,27-52,ONA
Maid-san to Boin Damashii,5.56,2.0,2-6,OVA
Kaijuu Sakaba Kanpai!,4.88,13.0,7-13,TV
Matsubara-kun,4.12,5.0,2-6,ONA
Bikini Warriors,5.29,12.0,7-13,TV
Bakuon!!,6.51,12.0,7-13,TV
Gokudou Sakaba Denden: Gokudou Daisensou Gaiden,5.31,3.0,2-6,ONA
Schwarzesmarken,6.91,12.0,7-13,TV
Netoraserare,5.68,2.0,2-6,OVA
Suzakinishi The Animation,5.49,12.0,7-13,TV
Kono Subarashii Sekai ni Shukufuku wo!,8.18,10.0,7-13,TV
Many Things SD Gundam,5.3,2.0,2-6,Special
Nekota no Koto ga Kininatte Shikatanai. (ONA),6.36,4.0,2-6,ONA
Q Transformers: Saranaru Ninki Mono e no Michi,5.62,13.0,7-13,TV
Happy Bogeys,6.4,12.0,7-13,Movie
Washimo 3rd Season,4.09,44.0,27-52,TV
Noragami Aragoto OVA,8.07,2.0,2-6,OVA
Oni Chichi: Refresh♥,7.17,4.0,2-6,OVA
Boo Boo Boy,4.62,26.0,14-26,TV
Deban Desu Yo! Onigirizu,4.22,6.0,2-6,TV
HaruChika: Haruta to Chika wa Seishun suru,6.42,12.0,7-13,TV
Utawarerumono: Itsuwari no Kamen,7.32,25.0,14-26,TV
Yuru Yuri Nachuyachumi!+,7.84,2.0,2-6,Special
Owanko,5.14,7.0,7-13,ONA
Tales of Zestiria the X,7.45,12.0,7-13,TV
Kurayami Santa,5.19,13.0,7-13,TV
Kowabon,5.29,13.0,7-13,TV
Arslan Senki (TV) Specials,6.72,8.0,7-13,Special
Jakusansei Million Arthur,6.4,60.0,53-100,ONA
Sylvanian Families Mini Gekijou: Omoigakenai Okyakusama,5.09,3.0,2-6,OVA
Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,7.1,2.0,2-6,OVA
Bary-san no Imabari-ben Kouza,5.24,47.0,27-52,TV
Himouto! Umaru-chan OVA,7.35,2.0,2-6,OVA
DD Hokuto no Ken 2 Ichigo Aji+,5.89,12.0,7-13,TV
Norasco (TV),4.94,43.0,27-52,TV
Norasco: Cinema Point Card-hen,6.29,10.0,7-13,Movie
Inferno Cop Specials,6.22,3.0,2-6,Special
Boku dake ga Inai Machi,8.54,12.0,7-13,TV
Beyblade Burst,6.57,51.0,27-52,TV
"Letchu, Getchu, Saru Getchu",5.06,76.0,53-100,TV
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,7.09,5.0,2-6,Special
Onaka Hime,5.44,3.0,2-6,ONA
Hime Chen! Otogi Chikku Idol Lilpri (2011),6.83,51.0,27-52,TV
Etotama Specials,6.59,6.0,2-6,Special
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",5.2,5.0,2-6,TV
Show By Rock!!: Legend of Shingan Crimsonz,6.02,3.0,2-6,ONA
Show By Rock!!: Plasmagica na Gogo,5.87,3.0,2-6,ONA
PikkaPika Summer,5.0,31.0,27-52,TV
Anne Happy♪,7.06,12.0,7-13,TV
Komori-san wa Kotowarenai!,6.28,12.0,7-13,TV
Hibike! Euphonium: Suisougaku-bu no Nichijou,6.75,7.0,7-13,Special
Ushio to Tora (TV) 2nd Season,8.04,13.0,7-13,TV
Green Dakara x Bakemono no Ko,5.16,2.0,2-6,ONA
Hatsukoi Monster,5.87,12.0,7-13,TV
Nisshin Seifun Group CM,6.1,3.0,2-6,Special
Ano Ko to Ii Koto,6.89,2.0,2-6,OVA
Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,6.59,60.0,53-100,ONA
Shounen Sunday CM Gekijou: InuYasha-hen,6.15,2.0,2-6,Special
Overlord: Ple Ple Pleiades,7.07,8.0,7-13,Special
Ame-iro Cocoa: Rainy Color e Youkoso!,4.85,12.0,7-13,TV
Onsen Yousei Hakone-chan,5.88,13.0,7-13,TV
Concrete Revolutio: Choujin Gensou,6.78,13.0,7-13,TV
ClassicaLoid,6.47,25.0,14-26,TV
Hetalia: The World Twinkle Specials,7.51,3.0,2-6,Special
Dimension W,7.29,12.0,7-13,TV
Meiji x Kokosake & anohana Receipt Oubo Campaign,5.58,2.0,2-6,Special
Akagami no Shirayuki-hime 2nd Season,8.12,12.0,7-13,TV
Osomatsu-san,8.14,25.0,14-26,TV
Yakyuubu Aruaru,3.78,3.0,2-6,TV
Uta no☆Prince-sama♪ Maji Love Legend Star,7.36,13.0,7-13,TV
Owarimonogatari,8.46,12.0,7-13,TV
Watashi ga Toriko ni Natte Yaru,6.95,2.0,2-6,OVA
Cardfight!! Vanguard G: GIRS Crisis-hen,6.88,26.0,14-26,TV
Choegang Top Plate,6.06,26.0,14-26,TV
Tantei Team KZ Jiken Note,6.25,16.0,14-26,TV
Phantasy Star Online 2 The Animation,6.44,12.0,7-13,TV
Kindaichi Shounen no Jikenbo Returns 2nd Season,7.79,22.0,14-26,TV
Servamp,7.1,12.0,7-13,TV
Lu Shidai,6.73,14.0,14-26,ONA
Himouto! Umaru-chanS,6.99,12.0,7-13,Special
Ganbare-bu Next!,5.05,6.0,2-6,TV
Re:Zero kara Hajimeru Isekai Seikatsu,8.39,25.0,14-26,TV
Choegang Habche: Mix Master,6.35,39.0,27-52,TV
Mobile Suit Gundam: Iron-Blooded Orphans,8.02,25.0,14-26,TV
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,7.17,6.0,2-6,Special
Robo to Shoujo (Kari): Oshirase Gekijou (Kari),4.0,5.0,2-6,ONA
Yonimo Kimyou na Man☆Gatarou,5.3,8.0,7-13,OVA
Comet Lucifer,5.94,12.0,7-13,TV
12-sai. 2nd Season,6.34,4.0,2-6,OVA
High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,7.43,6.0,2-6,Special
Shokugeki no Souma OVA,7.47,2.0,2-6,OVA
Hundred,6.56,12.0,7-13,TV
Drifters,8.03,12.0,7-13,TV
Neko Enikki,6.31,13.0,7-13,TV
Osiris no Tenbin,5.79,10.0,7-13,ONA
Grisaia no Rakuen Specials,7.16,5.0,2-6,Special
Mori no Ongakudan,6.13,13.0,7-13,ONA
Tonkatsu DJ Agetarou,7.17,12.0,7-13,TV
Shingeki! Kyojin Chuugakkou,7.06,12.0,7-13,TV
Flying Witch,7.59,12.0,7-13,TV
To LOVE-Ru Darkness 2nd OVA,7.74,3.0,2-6,OVA
Mesu Kyoushi 4: Kegasareta Kyoudan,6.84,4.0,2-6,OVA
Rinkan Biyaku Chuudoku: Nigeba Nashi! 1428-nin no Seito Zenin ni Sex Sareru Reijou Sayaka,6.66,2.0,2-6,OVA
Creamy Pie,6.57,2.0,2-6,OVA
Soul Worker: Your Destiny Awaits,5.98,5.0,2-6,ONA
Colosseum no Senki: Another Story,5.94,2.0,2-6,OVA
Netoge no Yome wa Onnanoko ja Nai to Omotta?,7.04,12.0,7-13,TV
Joker Game,7.12,12.0,7-13,TV
Mini Van 2nd Season,6.09,26.0,14-26,TV
Nijiiro Days,7.48,24.0,14-26,TV
Binan Koukou Chikyuu Boueibu LOVE! LOVE!,7.17,12.0,7-13,TV
Minami Kamakura Koukou Joshi Jitenshabu,6.24,12.0,7-13,TV
Zinba,6.59,52.0,27-52,TV
Terra Formars Revenge,6.85,13.0,7-13,TV
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.65,12.0,7-13,TV
Wagamama High Spec,5.45,12.0,7-13,TV
Teekyuu 6,6.73,12.0,7-13,TV
Musaigen no Phantom World,6.99,13.0,7-13,TV
Norn9: Norn+Nonet,6.68,12.0,7-13,TV
Code:Realize - Sousei no Himegimi,6.7,12.0,7-13,TV
Pichiko Dakyuubu,4.58,29.0,27-52,TV
MILPOM★,4.81,6.0,2-6,ONA
Bungou Stray Dogs,7.82,12.0,7-13,TV
Hantsu x Trash,5.26,3.0,2-6,OVA
Pan de Peace!,5.62,13.0,7-13,TV
Huyao Xiao Hongniang,7.31,13.0,7-13,ONA
High School Fleet,7.33,12.0,7-13,TV
Anitore! EX,5.52,12.0,7-13,TV
Larva,5.98,26.0,14-26,TV
Manaria Friends,6.52,10.0,7-13,TV
Kyoufu! Zombie Neko,5.75,52.0,27-52,TV
Sekkou Boys,6.34,12.0,7-13,TV
Peeping Life TV: Season 1??,5.73,12.0,7-13,TV
Doushitemo Eto ni Hairitai,6.49,13.0,7-13,TV
Prince of Stride: Alternative,7.02,12.0,7-13,TV
Miss Monochrome: The Animation 3,6.61,13.0,7-13,TV
Neko no Dayan: Nihon e Iku,6.43,12.0,7-13,TV
Sansha Sanyou,7.17,12.0,7-13,TV
Ketsuekigata-kun! 3,6.46,12.0,7-13,TV
Brave Beats,6.58,22.0,14-26,TV
JK Meshi!,4.64,26.0,14-26,TV
Ajin,7.64,13.0,7-13,TV
All Out!!,7.2,25.0,14-26,TV
Pokemon XY&Z,7.77,47.0,27-52,TV
Rokka no Yuusha Picture Drama,6.62,3.0,2-6,Special
Kaette Kite yoo Toyama kara,4.4,4.0,2-6,ONA
Kana Kana Kazoku Shorts: Naru Haya Kakusan Kibou,4.74,6.0,2-6,ONA
Kyoukai no Rinne 2nd Season,7.26,25.0,14-26,TV
Kanojo ga Kanji wo Suki na Riyuu.,5.41,2.0,2-6,ONA
Ooyasan wa Shishunki!,6.61,12.0,7-13,TV
Granblue Fantasy The Animation,6.81,13.0,7-13,TV
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",6.46,24.0,14-26,TV
Monster Hunter Stories: Ride On,6.29,75.0,53-100,TV
Sushi Police,4.69,13.0,7-13,TV
Dagashi Kashi,6.7,12.0,7-13,TV
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7.89,12.0,7-13,TV
Fuusen Inu Tinny 2nd Season,5.08,26.0,14-26,TV
3-gatsu no Lion,8.44,22.0,14-26,TV
Kaitou Joker 3rd Season,7.29,13.0,7-13,TV
Larva 2nd Season,6.12,34.0,27-52,TV
Larva 3rd Season,6.01,26.0,14-26,TV
Super Lovers,7.47,10.0,7-13,TV
Chuugakusei,4.8,2.0,2-6,OVA
San Mao Liu Lang Ji,6.46,25.0,14-26,TV
Gakken no Zunou Kaihatsu Video,5.33,17.0,14-26,OVA
Witch Village Story,5.0,24.0,14-26,TV
Fate/kaleid liner Prisma☆Illya 3rei!!,7.66,12.0,7-13,TV
Divine Gate,5.77,12.0,7-13,TV
Rewrite,6.81,13.0,7-13,TV
Nanatsu no Taizai: Seisen no Shirushi,7.4,4.0,2-6,TV
Bishoujo Senshi Sailor Moon Crystal Season III,7.82,13.0,7-13,TV
Valkyrie Drive: Mermaid Specials,6.22,6.0,2-6,Special
Gakusen Toshi Asterisk 2nd Season,7.3,12.0,7-13,TV
Nanairo Kakumei,5.91,3.0,2-6,Special
Chicchana Onaka,6.43,3.0,2-6,OVA
Magi: Sinbad no Bouken (TV),8.1,13.0,7-13,TV
Dochamon Junior,4.66,16.0,14-26,TV
Oshiri Kajiri Mushi (TV) 4th Season,5.47,10.0,7-13,TV
Ganbare! Lulu Lolo 3rd Season,6.0,10.0,7-13,TV
Nejimaki Seirei Senki: Tenkyou no Alderamin,7.87,13.0,7-13,TV
Amanchu!,7.34,12.0,7-13,TV
One Punch Man Specials,7.85,6.0,2-6,Special
Neko nanka Yondemo Konai.,5.98,12.0,7-13,TV
Yowamushi Pedal: New Generation,7.82,25.0,14-26,TV
Ero Manga! H mo Manga mo Step-up♪,6.89,2.0,2-6,OVA
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,5.93,12.0,7-13,TV
Mahou Shoujo Nante Mou Ii Desukara.,5.98,12.0,7-13,TV
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken Specials",6.57,6.0,2-6,Special
Kiznaiver,7.56,12.0,7-13,TV
Kuma Miko,6.33,12.0,7-13,TV
Amakano,6.96,4.0,2-6,OVA
"Kono Danshi, Mahou ga Oshigoto Desu.",7.17,4.0,2-6,TV
Arslan Senki (TV): Fuujin Ranbu,7.6,8.0,7-13,TV
Comet Lucifer: Garden Indigo no Shasou kara,6.14,12.0,7-13,Special
Ze Tian Ji,6.91,13.0,7-13,ONA
Masou Gakuen HxH,6.4,12.0,7-13,TV
Puzzle & Dragons CM,5.86,2.0,2-6,ONA
Ojisan to Marshmallow,6.67,12.0,7-13,TV
Hai to Gensou no Grimgar,7.81,12.0,7-13,TV
Tenchi Muyou! Ryououki 4th Season,6.82,4.0,2-6,OVA
Kare Baka: Wagahai no Kare wa Baka de R,5.94,8.0,7-13,ONA
Bakuon!! OVA,6.4,2.0,2-6,OVA
Mahoutsukai Precure!,7.1,50.0,27-52,TV
Majuu Jouka Shoujo Utea,6.76,4.0,2-6,OVA
Dropout,7.21,2.0,2-6,OVA
Nurse Witch Komugi-chan R,5.98,12.0,7-13,TV
The Legend of Huainanzi,6.22,26.0,14-26,TV
The Legend of Huainanzi 2nd Season,7.0,26.0,14-26,TV
Robocar Poli,5.08,26.0,14-26,TV
Big Order (TV),5.54,10.0,7-13,TV
Shoujo-tachi wa Kouya wo Mezasu,6.39,12.0,7-13,TV
Owari no Seraph: Nagoya Kessen-hen - Owaranai Seraph - Nagoya Kessen-hen,7.41,4.0,2-6,Special
Monchhichiisu,6.15,20.0,14-26,TV
Full Metal Panic! Invisible Victory,7.66,12.0,7-13,TV
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,8.64,39.0,27-52,TV
Kono Bijutsubu ni wa Mondai ga Aru!,7.39,12.0,7-13,TV
New Game!,7.73,12.0,7-13,TV
Boku no Hero Academia,8.42,13.0,7-13,TV
Ba La La Xiao Mo Xian Zhi: Qiji Wubu,5.83,52.0,27-52,TV
Mobile Suit Gundam Thunderbolt,7.96,4.0,2-6,ONA
Hibike! Euphonium 2,8.29,13.0,7-13,TV
Yami Shibai 3,6.31,13.0,7-13,TV
Hakuouki: Otogisoushi,6.66,12.0,7-13,TV
Oshiete! Galko-chan,7.18,12.0,7-13,TV
Ajin OVA,7.38,3.0,2-6,OVA
Secret Journey,6.26,2.0,2-6,OVA
Bubuki Buranki,6.38,12.0,7-13,TV
Seikaisuru Kado,6.96,12.0,7-13,TV
Show By Rock!! #,7.08,12.0,7-13,TV
Show By Rock!! Short!!,6.41,12.0,7-13,TV
Kyonyuu Hitozuma Onna Kyoushi Saimin,7.1,2.0,2-6,OVA
Luck & Logic,6.21,12.0,7-13,TV
"Watashitachi, Luck Logic-bu!",5.35,12.0,7-13,TV
Tanaka-kun wa Itsumo Kedaruge,8.01,12.0,7-13,TV
Reikenzan: Hoshikuzu-tachi no Utage,7.22,12.0,7-13,TV
Sousei no Onmyouji,7.42,50.0,27-52,TV
Narara Superboard,6.17,54.0,53-100,TV
Toshi Souzou Gakubu Shoukai,5.43,2.0,2-6,ONA
Peeping Life x Kids Station,4.23,3.0,2-6,Special
Tatsunoko Pro x Peeping Life,5.18,2.0,2-6,ONA
Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear,7.01,4.0,2-6,Special
Closers: Side Blacklambs,6.88,12.0,7-13,ONA
Ange Vierge,6.12,12.0,7-13,TV
Shounen Maid,7.39,12.0,7-13,TV
Mob Psycho 100,8.5,12.0,7-13,TV
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7.61,12.0,7-13,TV
Junjou Shoujo Et Cetera Specials,6.41,2.0,2-6,Special
Koukaku no Pandora,6.58,12.0,7-13,TV
Choujikuu Seiki Orguss Memorial,5.05,2.0,2-6,OVA
Robocar Poli 2,5.27,26.0,14-26,TV
Teekyuu 7,6.78,12.0,7-13,TV
Xi You Ji,7.14,52.0,27-52,TV
"Watashi wa, Kairaku Izonshou",6.23,2.0,2-6,OVA
Shinsei: Futanari Idol - Dekatama-kei!,6.69,2.0,2-6,OVA
Kuromukuro,7.33,26.0,14-26,TV
Mirai e no Kakehashi: Bridge for Future,5.67,6.0,2-6,ONA
Renai Boukun,6.88,12.0,7-13,TV
Koyomimonogatari,7.77,12.0,7-13,ONA
Dies Irae,5.49,11.0,7-13,TV
Ketsuekigata-kun! 4,6.41,12.0,7-13,TV
Shokugeki no Souma: Ni no Sara,8.44,13.0,7-13,TV
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.46,12.0,7-13,TV
Tabi Machi Late Show,6.24,4.0,2-6,TV
Concrete Revolutio: Choujin Gensou - The Last Song,7.13,11.0,7-13,TV
Aishen Qiaokeli-ing...,7.19,15.0,14-26,ONA
Qualidea Code,6.64,12.0,7-13,TV
Gintama°: Aizome Kaori-hen,8.47,2.0,2-6,OVA
D.Gray-man Hallow,7.89,13.0,7-13,TV
Berserk,6.67,12.0,7-13,TV
Osomatsu-san Short Film Series,6.61,7.0,7-13,Special
Project HAL,5.82,3.0,2-6,ONA
KochinPa!,4.38,12.0,7-13,TV
Mim Mam Mint,4.0,4.0,2-6,TV
Marshmallow★Imouto★Succubus★,6.88,2.0,2-6,OVA
Clockwork Planet,6.58,12.0,7-13,TV
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)",4.41,2.0,2-6,ONA
Shinmai Maou no Testament Burst Specials,7.09,5.0,2-6,Special
Dimension W: W no Tobira Online,5.69,5.0,2-6,Special
Chibinacs,5.62,25.0,14-26,TV
Chibinacs 2.0,4.5,25.0,14-26,TV
Chibinacs 3,4.47,25.0,14-26,TV
Pretty x Cation The Animation,7.3,2.0,2-6,OVA
Mayoiga,5.64,12.0,7-13,TV
Nora to Oujo to Noraneko Heart,5.43,11.0,7-13,TV
Usakame,5.85,12.0,7-13,TV
Love Live! The School Idol Movie: Gekijou Manner CM,6.41,4.0,2-6,Movie
Cheer Danshi!!,6.82,12.0,7-13,TV
A-Size Classmate,5.9,2.0,2-6,OVA
Kanojo to Kanojo no Neko: Everything Flows,7.76,4.0,2-6,TV
Days (TV),7.3,24.0,14-26,TV
BlazBlue: Alter Memory Specials,6.33,6.0,2-6,Special
Shoujo kara Shoujo e...,7.02,2.0,2-6,OVA
Love Live! Sunshine!!,7.52,13.0,7-13,TV
Sakamoto Desu ga?,7.67,12.0,7-13,TV
Lu Shidai 2nd Season,7.08,13.0,7-13,ONA
Stella no Mahou,6.91,12.0,7-13,TV
Zombie Clay Animation: I'm Stuck!!,4.27,4.0,2-6,ONA
Ryuuzou to Shichinin no Kobun-tachi x Frogman,4.33,5.0,2-6,ONA
Kamiwaza Wanda,5.03,47.0,27-52,TV
Shounen Ashibe: Go! Go! Goma-chan,6.11,32.0,27-52,TV
Neko Neko Nihonshi,6.27,32.0,27-52,TV
Uniminipet,6.53,26.0,14-26,TV
Duel Masters VSRF,5.53,51.0,27-52,TV
Telemonster,6.06,52.0,27-52,TV
Shoujo Ramune,7.39,4.0,2-6,OVA
Taeng-gu & Ulasyong,5.85,26.0,14-26,TV
Seisen Cerberus: Ryuukoku no Fatalités,5.75,13.0,7-13,TV
The Snack World (TV),6.15,50.0,27-52,TV
12-sai.: Chicchana Mune no Tokimeki,6.56,12.0,7-13,TV
Okusama ga Seitokaichou!+!,6.79,12.0,7-13,TV
Onigiri,5.43,13.0,7-13,TV
Gi(a)rlish Number,6.96,12.0,7-13,TV
Endride,5.76,24.0,14-26,TV
Elsword: El-ui Yeoin,6.31,12.0,7-13,ONA
Youjo Senki,8.13,12.0,7-13,TV
Coral no Tanken,5.78,50.0,27-52,TV
Nowisee,6.64,24.0,14-26,Music
Okusama ga Seitokaichou!: Okusama Gekijou,7.06,12.0,7-13,Special
Tsuzuki wo Kangaeru Monogatari,5.36,4.0,2-6,Special
Handa-kun,7.46,12.0,7-13,TV
Petit Petit Muse,6.25,26.0,14-26,TV
Bananya,6.79,13.0,7-13,TV
Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,7.27,4.0,2-6,OVA
Battle Spirits: Double Drive,6.02,51.0,27-52,TV
Udon no Kuni no Kiniro Kemari,7.79,12.0,7-13,TV
Uchuu Patrol Luluco,7.68,13.0,7-13,TV
Kagewani: Shou,6.52,13.0,7-13,TV
Keijo!!!!!!!!,7.26,12.0,7-13,TV
Flowering Heart,6.43,26.0,14-26,TV
Fukigen na Mononokean,7.46,13.0,7-13,TV
Ozmafia!!,5.5,12.0,7-13,TV
Monster Musume no Iru Nichijou OVA,7.32,2.0,2-6,OVA
Jewelpet: Attack Chance!?,5.9,3.0,2-6,ONA
Aikatsu Stars!,7.76,100.0,53-100,TV
Orange,7.71,13.0,7-13,TV
ZIP! x Peeping Life TV: Cool Japan Saizensen,4.69,5.0,2-6,ONA
Pepsi Nex x 009 Re:Cyborg,5.62,3.0,2-6,Movie
009 Re:Cyborg x Zip,5.16,10.0,7-13,ONA
Calbee Hitokuchi Gekijou,4.19,18.0,14-26,Special
JRA Hokan Keikaku,4.77,3.0,2-6,ONA
Puzzle & Dragons Cross,6.73,89.0,53-100,TV
Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,6.08,6.0,2-6,Special
Future Card Buddyfight Triple D,6.54,51.0,27-52,TV
Mobile Suit Gundam Unicorn RE:0096,7.57,22.0,14-26,TV
Cardfight!! Vanguard G: Stride Gate-hen,6.92,24.0,14-26,TV
Nyanbo!,6.35,26.0,14-26,TV
Xiong Chumo Zhi: Chunri Dui Dui Peng,4.08,52.0,27-52,TV
Xiong Chumo Zhi: Dongri Le Fantian,4.43,52.0,27-52,TV
Amaama to Inazuma,7.56,12.0,7-13,TV
Nobunaga no Shinobi,7.1,26.0,14-26,TV
Chou Shounen Tanteidan Neo,5.07,13.0,7-13,TV
Nudist Beach ni Shuugaku Ryokou de!! The Animation,6.95,2.0,2-6,OVA
Senki Zesshou Symphogear AXZ,7.67,13.0,7-13,TV
Panpaka Pants,5.0,27.0,27-52,TV
Wonderland,3.97,2.0,2-6,Music
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,7.88,8.0,7-13,ONA
JK to Ero Konbini Tenchou,6.77,6.0,2-6,OVA
Brave Witches,6.88,12.0,7-13,TV
Bungou Stray Dogs 2nd Season,8.3,12.0,7-13,TV
Energy Kyouka!!,7.04,2.0,2-6,OVA
ēlDLIVE,6.27,12.0,7-13,TV
Tiger Mask W,7.07,38.0,27-52,TV
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.11,12.0,7-13,TV
Himitsukessha Taka no Tsume GT,5.48,47.0,27-52,ONA
Chijoku no Seifuku,6.96,2.0,2-6,OVA
Seishun Anime Zenshuu Specials,5.59,2.0,2-6,Special
Watashi ga Motete Dousunda,7.37,12.0,7-13,TV
Eromanga-sensei,6.83,12.0,7-13,TV
Mahoutsukai no Yome: Hoshi Matsu Hito,8.23,3.0,2-6,OVA
Bishoujo Yuugi Unit Crane Game Girls,4.43,13.0,7-13,TV
YanYan Machiko Specials,4.2,5.0,2-6,Special
Urara Meirochou,7.19,12.0,7-13,TV
Fairy Tail OVA (2016),7.47,3.0,2-6,OVA
Choujuu Giga,6.22,3.0,2-6,ONA
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.97,10.0,7-13,TV
Gin no Guardian,6.34,12.0,7-13,TV
Kono Subarashii Sekai ni Shukufuku wo! 2,8.37,10.0,7-13,TV
CoCO & NiCO,5.5,39.0,27-52,TV
Battery,5.78,11.0,7-13,TV
Fune wo Amu,7.68,11.0,7-13,TV
Kuzu no Honkai,7.53,12.0,7-13,TV
Rokudenashi Majutsu Koushi to Akashic Records,7.36,12.0,7-13,TV
Flying Witch Petit,6.0,9.0,7-13,ONA
Mirai no Watashi,6.27,2.0,2-6,ONA
Regalia: The Three Sacred Stars,6.02,13.0,7-13,TV
Occultic;Nine,7.04,12.0,7-13,TV
Aggressive Retsuko,7.69,100.0,53-100,TV
Flip Flappers,7.75,13.0,7-13,TV
Hand Shakers,5.66,12.0,7-13,TV
Imakara Atashi......,6.3,2.0,2-6,OVA
Natsume Yuujinchou Go,8.63,11.0,7-13,TV
Yuri!!! on Ice,8.14,12.0,7-13,TV
91 Days,7.88,12.0,7-13,TV
"Neko mo, Onda-ke",4.82,12.0,7-13,TV
Panpaka Pants W-O-New!,4.28,26.0,14-26,TV
Mahou Shoujo Ikusei Keikaku,7.1,12.0,7-13,TV
Tanaka-kun wa Kyou mo Kedaruge,7.3,35.0,27-52,Special
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,6.01,12.0,7-13,ONA
Island,6.52,12.0,7-13,TV
Super Lovers OVA,7.72,2.0,2-6,OVA
Katsugeki/Touken Ranbu,6.8,13.0,7-13,TV
Reikenzan: Eichi e no Shikaku,7.04,12.0,7-13,TV
Ragnastrike Angels,4.38,12.0,7-13,TV
Touken Ranbu: Hanamaru,6.89,12.0,7-13,TV
Time Bokan 24,5.87,24.0,14-26,TV
Infini-T Force,6.59,12.0,7-13,TV
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.72,11.0,7-13,TV
Shakunetsu no Takkyuu Musume,7.15,12.0,7-13,TV
Starmyu OVA,7.25,2.0,2-6,OVA
Tsukiuta. The Animation,7.04,13.0,7-13,TV
Nuwa Chengzhang Riji,6.41,30.0,27-52,ONA
Bubuki Buranki: Hoshi no Kyojin,6.95,12.0,7-13,TV
Dream Festival!,6.91,12.0,7-13,ONA
B-Project: Kodou*Ambitious,6.76,12.0,7-13,TV
Fate/Extra: Last Encore,6.44,10.0,7-13,TV
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.27,25.0,14-26,TV
Buddy Go!,6.42,3.0,2-6,Special
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,8.0,26.0,14-26,OVA
Lupin III (2015) Specials,7.29,2.0,2-6,Special
Meikyoku to Dai Sakkyokka Monogatari,5.36,9.0,7-13,OVA
