Year,Genre,Average Score,Count
2005.0,Slice of Life,6.961904761904761,21
2005.0,School,6.838666666666666,15
2006.0,Comedy,6.8062406015037595,133
2006.0,Action,7.148870967741935,62
2006.0,Adventure,6.797857142857144,42
2006.0,Fantasy,6.877142857142857,56
2006.0,Sci-Fi,6.900212765957448,47
2006.0,Drama,7.05264705882353,68
2006.0,Romance,6.9846774193548375,62
2006.0,Shounen,7.277499999999999,36
2006.0,Slice of Life,6.852592592592593,27
2006.0,School,7.099444444444445,36
2007.0,Comedy,6.89863157894737,95
2007.0,Action,7.132037037037038,54
2007.0,Adventure,6.952857142857143,42
2007.0,Fantasy,6.92890909090909,55
2007.0,Sci-Fi,6.899189189189188,37
2007.0,Drama,7.225510204081634,49
2007.0,Romance,7.17325,40
2007.0,Shounen,7.3027999999999995,25
2007.0,Slice of Life,7.169090909090908,22
2007.0,School,7.016136363636364,44
2008.0,Comedy,6.981,110
2008.0,Action,7.081186440677968,59
2008.0,Adventure,7.060789473684211,38
2008.0,Fantasy,7.117391304347826,46
2008.0,Sci-Fi,6.905348837209303,43
2008.0,Drama,7.5675,32
2008.0,Romance,7.363617021276596,47
2008.0,Shounen,7.3069999999999995,30
2008.0,Slice of Life,7.246250000000001,24
2008.0,School,7.03,39
2009.0,Comedy,6.699714285714286,140
2009.0,Action,7.179454545454545,55
2009.0,Adventure,7.010833333333334,36
2009.0,Fantasy,7.1410638297872335,47
2009.0,Sci-Fi,6.872413793103449,29
2009.0,Drama,7.744705882352941,34
2009.0,Romance,7.345116279069767,43
2009.0,Shounen,7.760370370370371,27
2009.0,Slice of Life,6.803076923076924,39
2009.0,School,7.2772499999999996,40
2010.0,Comedy,6.861404958677686,121
2010.0,Action,7.14,56
2010.0,Adventure,6.683333333333334,30
2010.0,Fantasy,6.745172413793105,29
2010.0,Sci-Fi,6.890000000000001,24
2010.0,Drama,7.215833333333333,24
2010.0,Romance,7.305937500000001,32
2010.0,Shounen,7.293,30
2010.0,Slice of Life,7.008214285714286,28
2010.0,School,7.171818181818182,33
2011.0,Comedy,6.552733333333332,150
2011.0,Action,6.998266666666667,75
2011.0,Adventure,6.9816666666666665,24
2011.0,Fantasy,6.982352941176471,34
2011.0,Sci-Fi,6.959642857142859,28
2011.0,Drama,7.649090909090909,33
2011.0,Romance,7.205000000000001,40
2011.0,Shounen,7.390487804878049,41
2011.0,Slice of Life,6.930227272727273,44
2011.0,School,7.110377358490565,53
2012.0,Comedy,6.713757961783439,157
2012.0,Action,7.1152500000000005,80
2012.0,Adventure,6.7703030303030305,33
2012.0,Fantasy,6.93625,48
2012.0,Sci-Fi,7.23,31
2012.0,Drama,7.415294117647059,34
2012.0,Romance,7.327586206896551,58
2012.0,Shounen,7.351836734693878,49
2012.0,Slice of Life,7.019200000000001,50
2012.0,School,7.277361111111111,72
2013.0,Comedy,6.546514285714285,175
2013.0,Action,6.9405128205128195,78
2013.0,Adventure,6.615925925925926,27
2013.0,Fantasy,6.886440677966102,59
2013.0,Sci-Fi,6.626333333333333,30
2013.0,Drama,7.487272727272728,22
2013.0,Romance,7.143658536585367,41
2013.0,Shounen,7.275999999999999,35
2013.0,Slice of Life,6.550140845070422,71
2013.0,School,7.0175,64
2014.0,Comedy,6.568793969849246,199
2014.0,Action,6.928333333333332,96
2014.0,Adventure,6.9398,50
2014.0,Fantasy,6.865301204819277,83
2014.0,Sci-Fi,6.810212765957447,47
2014.0,Drama,7.641034482758619,29
2014.0,Romance,7.313035714285713,56
2014.0,Shounen,7.228032786885245,61
2014.0,Slice of Life,6.505454545454545,77
2014.0,School,7.067027027027027,74
2015.0,Comedy,6.488071065989848,197
2015.0,Action,7.101145833333334,96
2015.0,Adventure,6.9535,40
2015.0,Fantasy,6.811012658227849,79
2015.0,Sci-Fi,6.862285714285714,35
2015.0,Drama,7.371176470588234,34
2015.0,Romance,7.235434782608694,46
2015.0,Shounen,7.451333333333333,45
2015.0,Slice of Life,6.364794520547946,73
2015.0,School,6.925342465753425,73
2016.0,Comedy,6.336507177033493,209
2016.0,Action,7.059029126213592,103
2016.0,Adventure,6.729607843137253,51
2016.0,Fantasy,6.786705882352941,85
2016.0,Sci-Fi,6.348518518518517,54
2016.0,Drama,7.1268,50
2016.0,Romance,7.055833333333332,48
2016.0,Shounen,7.3035555555555565,45
2016.0,Slice of Life,6.732027027027028,74
2016.0,School,6.821772151898734,79
2017.0,Comedy,6.306136363636364,176
2017.0,Action,6.817156862745098,102
2017.0,Adventure,6.706666666666666,57
2017.0,Fantasy,6.874245283018867,106
2017.0,Sci-Fi,6.569215686274509,51
2017.0,Drama,7.118360655737705,61
2017.0,Romance,6.9399999999999995,59
